auth_id,device_id,customer_id,auth_method,auth_time
4,7,6,OTP,2025-08-02 11:39:00.560000
5,7,6,Biometric,2025-07-31 06:34:14
7,11,10,Biometric,2025-08-05 17:16:23.240000
9,7,6,Password,2025-08-08 03:39:45.040000
12,7,6,PIN,2025-07-31 13:15:23.160000
18,7,6,PIN,2025-08-03 18:03:06.640000
22,7,6,PIN,2025-08-02 18:21:43.160000
24,10,9,Biometric,2025-08-11 22:47:43.360000
25,10,9,PIN,2025-08-09 12:04:44.360000
28,7,6,OTP,2025-08-13 16:11:38.560000
34,3,2,Biometric,2025-08-07 21:11:02.840000
37,7,6,PIN,2025-08-10 08:01:23.960000
39,7,6,Password,2025-08-02 13:36:15
41,3,2,Biometric,2025-08-01 18:51:43
43,5,4,OTP,2025-08-10 09:44:23.560000
45,9,8,Password,2025-08-13 19:14:39.760000
46,11,10,Password,2025-08-05 12:43:57.160000
47,3,2,Password,2025-08-05 12:49:01.840000
48,9,8,Biometric,2025-08-01 23:01:01.560000
49,5,4,Biometric,2025-08-16 00:50:09.640000
50,5,4,OTP,2025-08-02 08:45:04.440000
51,11,10,Password,2025-08-04 03:46:21.560000
54,10,9,Biometric,2025-08-06 22:29:48
55,7,6,PIN,2025-08-03 22:48:48
59,5,4,Password,2025-08-09 05:51:53
61,3,2,Password,2025-08-04 15:22:38.640000
67,10,9,OTP,2025-08-14 04:22:41
69,7,6,OTP,2025-08-02 20:15:38.560000
79,9,8,PIN,2025-07-30 20:47:22.560000
81,3,2,Biometric,2025-08-02 08:06:23.760000
87,11,10,OTP,2025-08-03 01:13:08.160000
95,9,8,Biometric,2025-08-18 05:46:16
99,9,8,Password,2025-08-02 16:17:06.840000
100,7,6,OTP,2025-08-03 10:08:29.960000
